company_name,sector,funding_total_usd,company_age,target,Giants,No Budget,Competition,Poor Market Fit,Acquisition Stagnation,Platform Dependency,Monetization Failure,Niche Limits,Execution Flaws,Trend Shifts,Toxicity/Trust Issues,Regulatory Pressure,Overhype,High Operational Costs
2Web Technologies,Software,0.0,2026,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
2Wire,Curated Web,162000000.0,2026,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
3 day Blinds,Interior Design|Retail|Services,0.0,42,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
360Commerce,Information Technology|Retail|Software,15000000.0,2026,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
360T,Finance|FinTech,0.0,26,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
XDN/3Crowd Technologies,Enterprise Software,7289000.0,16,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
3D Systems,Software,169500000.0,40,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
3DC,Technology,0.0,17,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Nimble VR,Software,2249999.0,14,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
3Leaf,Web Hosting,65000000.0,22,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
3LM,Android|Enterprises|Mobile,1500000.0,16,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
3PAR,Cloud Data Services|Services|Software,148000000.0,27,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
3TIER,Clean Technology,15000000.0,27,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
3V Transaction Services,Coupons|Online Shopping|Payments|Retail Technology,50958896.6114209,22,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
3ware,Databases|Electronics|Storage,26000000.0,2026,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
41st Parameter,Security,38064570.0,22,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
42Networks,Web Hosting,2258720.0,2026,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
4DK Technologies,Mobile,3378975.0,21,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
4Home,Automotive|Clean Energy|Cloud Computing|Internet|Software|Wireless,9416354.0,20,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
4meee,E-Commerce,500000.0,2026,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
500Friends,E-Commerce|Enterprise Software|Loyalty Programs|Social Media,12900000.0,16,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
56.com,Photography,30000000.0,21,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
58.com,Curated Web|Internet|Software,876780000.0,21,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
5BARz International,Mobile|Technology|Wireless,6100000.0,18,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
5by,Apps|Photography|Photo Sharing,0.0,14,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
5min Media,Education|Games|Video,12800000.0,19,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
5Rocks,Games,3987693.0,13,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
5th Finger,Mobile,7000000.0,18,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
5to1,Advertising|Internet|Internet Marketing,17129760.0,17,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
60mo,Accounting|Business Development|Finance|Software|Web Development,1300000.0,17,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
640 Labs,Software,3050000.0,13,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
6D Global Technologies,Services,11052498.0,2026,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
6N Silicon,Concentrated Solar Power|Manufacturing|Solar,5714285.71428571,20,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
6th Sense Analytics,Software,6700000.0,22,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
6Wunderkinder / Wunderlist,Android|Apps|Cloud Computing|Collaboration|Email|Finance|Home & Garden|Internet|iOS|iPad|iPhone|Mac|Productivity Software|Software|Synchronization|Task Management|Web Development,23857750.0,16,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
7digital,Content Creators|Content Delivery|Licensing|Music|Music Services|Technology,20068328.451591,22,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
8x8 Inc,Contact Centers|Telecommunications|Unifed Communications|Video Conferencing,126000000.0,39,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
91 Wireless,Mobile,30000000.0,16,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
99Bill,E-Commerce|Payments,83574271.0,21,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
9Cookies,Point of Sale|Restaurants,0.0,14,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
9SLIDES,Enterprises|Enterprise Software|iPad|Presentations|SaaS|Training,925000.0,16,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
A-Life Medical,Biotechnology,3000000.0,2026,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
A+ Network,0,0.0,37,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
A10 Networks,Cloud Computing|Communications Hardware|Hardware|Networking|Optimization|Security|SEO|Technology|Virtualization|Web Hosting,118000000.0,22,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
A123 Systems,Batteries|Clean Technology|Energy Storage|Mobile,502860000.0,25,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
A4Vision,3D Technology,0.0,2026,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
A8 Digital Music,Music,50000000.0,26,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
AAC Technologies Holdings,Hardware + Software,0.0,33,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Aardvark,Search,6000000.0,19,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Aarohi communication,Application Platforms|Communications Infrastructure|Storage,14000000.0,2026,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Aastrom Biosciences,Biotechnology,40000000.0,37,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Abacast,Analytics,500000.0,26,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Abattis Bioceuticals,Biotechnology,400988.0,29,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Abaxia,Software,1770000.0,25,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
ABB,Automotive|Clean Technology|Energy|Technology,2700000.0,38,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
AbbeyPost,E-Commerce|Fashion|Women,875000.0,12,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Abbott Labs,Biotechnology|Health and Wellness|Medical|Venture Capital,6790000.0,35,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
AbeBooks,Curated Web|Textbooks,0.0,30,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Ablation Frontiers,Innovation Engineering|Medical|Medical Devices,21800000.0,2026,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Ablynx,Biotechnology,186036236.0,25,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Web Reservations International,Curated Web|Web Development,0.0,2026,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
A Break Please,0,0.0,2026,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Abtech Holdings,Engineering Firms|Environmental Innovation|Technology,1400000.0,31,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Abzena,Biotechnology,64640151.5803158,24,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
AbZorba Games,Apps|Games|Mobile|Social Media|Software,396998.0,14,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
A.C. Moore,E-Commerce,10000000.0,42,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Acacia Research,Business Services|Intellectual Asset Management|Licensing,255100000.0,33,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Academic Earth,EdTech|Education|Video,0.0,18,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Academy123,Education,2000000.0,22,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
ACADIA Pharmaceuticals,Biotechnology|Health Care,126385000.0,2026,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
AcceleCare Wound Centers,Health Care|Hospitals|Medical,13500000.0,2026,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Accelera Innovations,Health and Wellness,200000000.0,2026,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Accelerate Diagnostics,Health Care|Health Diagnostics|Medical Devices,63016244.0,22,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Accelerize New Media,Enterprise Software,4045500.0,21,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Acceleron Pharma,Biotechnology,113701127.0,22,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Accentia Biopharmaceuticals Inc,Biotechnology|Health and Wellness,775000.0,24,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Accenx Technologies,Software,4500000.0,29,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Accept Software,Career Management|Software,25305000.0,24,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Accertify,Credit Cards|Fraud Detection|Security,7131124.0,19,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Access Closure,Health Care,13793098.0,24,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Access Northeast,Cloud Computing|Data Centers|Networking|Services|Software|Web Hosting,1999998.0,27,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Access Scientific,Health Care,21376001.0,22,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Inherited Health,Health and Wellness,1155000.0,19,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Acclaim Games,Games,0.0,29,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Acclarent,Biotechnology|Medical,35000000.0,22,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Acclaris Holdings,Development Platforms|Health Care|Software,5000000.0,16,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Acco Brands,Hardware + Software,10000000.0,79,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Accordent Technologies,Consulting,4000000.0,2026,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Accumetrics,Biotechnology,110640466.0,30,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Accupost Corporation,Software,0.0,2026,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Accuvant,Security,8198838.0,24,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
AcelRx Pharmaceuticals,Biotechnology|Health Care,93654902.0,2026,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Aceva Technologies,Enterprise Software,5280000.0,27,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Achaogen,Biotechnology|Health Care,116605707.0,22,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Achievers,Employer Benefits Programs|Incentives|Services|Software,52422326.0,31,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Achillion Pharmaceuticals,Biotechnology|Health Care,91100000.0,28,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Aciex Therapeutics,Biotechnology,9599860.0,2026,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Blackwave,Social Media|Storage|Video Streaming|Web Hosting,28000000.0,20,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Acirro,Software,9500000.0,2026,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Acision,Mobile,100000000.0,34,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Aclaris Therapeutics,Biotechnology,82000000.0,2026,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Acme Packet,Telecommunications|Web Hosting,38247779.0,2026,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Acompli,Android|Consumer Internet|Email|Enterprise Software|iOS|Mobile|Mobile Security|SaaS,7300000.0,13,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Acopia Networks,Software,75000000.0,24,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Acorda Therapeutics,Biotechnology|Health Care,76800000.0,2026,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Acorn International,Advertising,43000000.0,2026,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Acoustic Technologies,Software,7974296.0,28,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Acquaintable,Curated Web,40000.0,14,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
ACS Global,Biotechnology,3162000.0,2026,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Acta technology,Data Integration|Enterprises|Real Time,25000000.0,2026,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Actacell,Batteries|Clean Technology|Search,9800000.0,2026,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Acteavo,B2B|Leisure|Travel & Tourism,116987.0,13,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Actimis Pharmaceuticals,Biotechnology,15600000.0,2026,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Actimize,Software,24000000.0,27,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Actinium Pharmaceuticals,Biotechnology,7000720.0,26,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Action Engine,Mobile,58200000.0,26,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Actions Semiconductor,Hardware|Hardware + Software|Semiconductors,80000000.0,2026,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Activaero,Biotechnology,22585000.0,22,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Active Junky,Comparison Shopping|Coupons|E-Commerce|Outdoors,1300000.0,16,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Active Voice Corporation,Social Media,0.0,43,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
ACTIVE Network,Software,214208700.0,27,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
ActivIdentity,Enterprise Software,5422959.0,41,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
ActiViews,Health Care,10000000.0,20,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Activiomics,Biotechnology|Health Diagnostics,805000.0,2026,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Actix,Mobile,0.0,45,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
ActoGeniX,Biotechnology|Clinical Trials|Pharmaceuticals,30204758.8708734,2026,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Acton Pharmaceuticals,Biotechnology,36700005.0,2026,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Actona Technologies,Business Services|Technology,28000000.0,26,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
ActSocial,Advertising|Direct Marketing|Social CRM|Social Media,2574004.0,17,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Acuity Pharmaceuticals,Health Care|Pharmaceuticals|Technology,15000000.0,2026,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Acura Pharmaceuticals,Biotechnology,10300000.0,2026,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Acusphere,Biotechnology|Pharmaceuticals,10000000.0,33,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Ad Infuse,Advertising|Mobile,17600000.0,21,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Adisn,Advertising,1550000.0,2026,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Ad2games,Games|Online Gaming,9000000.0,19,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Adallom,Cloud Computing|Enterprises|Security,49500000.0,14,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Adamas Pharmaceuticals,Health Care,82000000.0,26,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Adamis Pharmaceuticals,Biotechnology,16377078.0,20,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
"Adap.tv, now a part of ONE by AOL",Advertising|Auctions|Television|Video,48500000.0,20,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Adapt Technologies,Advertising,10000000.0,25,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Adaptimmune,Biotechnology,107500000.0,18,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
"Adaptive Medias, Inc.",Advertising|Displays|Mobile|Video,12400000.0,14,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
AdaptiveBlue,Entertainment|Games|Reviews and Recommendations|Semantic Web,24020000.0,19,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Adaptiv.io,Software,10000000.0,19,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Adaptivity,Enterprise Software,24845955.0,19,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
ADAPTIX,Public Relations,6500000.0,2026,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Adaytum,Business Services|Enterprises|Software,7400000.0,2026,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
adBrite,Advertising|Auctions|Publishing,40400000.0,23,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
AdCare Health Systems,Biotechnology|Health Care,36043700.0,38,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
ADCentricity,Advertising|Displays|Location Based Services|Mobile|Mobile Software Tools|News|Sales and Marketing,2940000.0,19,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Adchemy,Advertising,119191000.0,22,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
AdChina,Advertising,10000000.0,19,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Adcole Corporation,Aerospace|Industrial|Manufacturing,0.0,2026,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Adconion Media Group,Ad Targeting|Advertising|Entertainment,114000000.0,21,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Addex Therapeutics,Biotechnology,2842048.0,24,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Addus HealthCare,Health and Wellness|Health Care,1240000.0,47,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Adea,Consulting,5000000.0,30,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
AdECN,Advertising|Sales and Marketing|Software,3100000.0,23,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Adenyo,Mobile,29758289.0,2026,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Adept Cloud,Enterprise Software,1015000.0,15,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Adeptus Health,Health and Wellness,175000000.0,2026,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Adesto Technologies,Semiconductors,56381909.0,20,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
AdGrok,Advertising,470000.0,16,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Adheron Therapeutics,Biotechnology,1500000.0,2026,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
ADI Engineering,Networking,0.0,36,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Adiana,Biotechnology,23000000.0,29,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Adify,Advertising,27000000.0,20,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Adility,Advertising|Coupons|Local Advertising|Local Based Services|Network Security,100000.0,17,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Adjug,Advertising|Internet|Marketplaces|Publishing,8500000.0,19,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Adku,Software,1540000.0,16,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
ADMA Biologics,Biotechnology,46500000.0,2026,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Admatic,Big Data Analytics|Digital Media|E-Commerce|Marketing Automation|Search Marketing,0.0,13,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Admeld,Advertising|Auctions|Software,30000000.0,19,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
ADMETA,Advertising|Internet|Optimization|Real Time,5000000.0,24,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
AdMob,Advertising|Mobile,46800000.0,20,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
AdMobius,Advertising,5000000.0,15,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Adnexus,Biotechnology|Health Care|Medical|Therapeutics,55500000.0,24,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Adometry By Google,Advertising|Analytics|Displays|Software,29575000.0,21,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Adomo,Messaging,18500000.0,27,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
ADOR,News|Social Commerce|Social Media,56464869.0,17,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
AdoTube,Advertising|Monetization|Video,1230000.0,19,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
ADP (Automatic Data Processing),Business Services|Consulting|Outsourcing,2000000.0,77,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
AdQuantic,Advertising|Algorithms|Auctions|Optimization|Search Marketing|Semantic Search,0.0,16,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
adQuota,Advertising,3216500.0,2026,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
AdReady,Advertising|Displays|Graphics,17807000.0,20,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
